🕘️更新时间,#genre#
CCTV-7,http://39.164.180.36:19901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8
CCTV-7,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
CCTV-7,http://home.wwang.pw:35455/gaoma/cctv7.m3u8
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=5efea15b5115b2be0e9c11527601ab541c646da6310420ce788fafd0cbc53baa18194290df19e900a089f43300a784605577054b709659403fb3de1eaa69137ce76e0233b0f007ee744300c50d
CCTV-7,http://www.freetv.top/migu/673168121.m3u8?migutoken=bea4d574a7f96c7e95fb2000e191d57743cfdadfa9a4819385a46bf2bf269d9cf13b9bcc1494158b5bc16ce7d6751825800030253b91daf31a298122a2511f45821009cbeca64d12349bc0227d
CCTV-8,http://php.jdshipin.com:8880/cqyx.php?id=CCTV8HD
CCTV-8,http://120.192.226.35:8009/hls/8/index.m3u8
CCTV-8,http://39.170.52.236:808/hls/8/index.m3u8
CCTV-8,http://tvbox6.icu/tv/migu.php?id=cctv8
CCTV-8,http://39.164.180.36:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://110.53.52.63:8888/newlive/live/hls/10/live.m3u8
CCTV-8,https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8
CCTV-8,http://58.17.48.228:808/hls/8/index.m3u8
CCTV-8,http://home.wwang.pw:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-8,https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080
CCTV-9,http://php.jdshipin.com:8880/cqyx.php?id=CCTV9HD
CCTV-9,http://120.192.226.35:8009/hls/509/index.m3u8
CCTV-9,http://39.170.52.236:808/hls/9/index.m3u8
CCTV-9,http://tvbox6.icu/tv/migu.php?id=cctv9
CCTV-9,http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9,http://110.53.52.63:8888/newlive/live/hls/11/live.m3u8
CCTV-9,https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8
CCTV-9,http://58.17.48.228:808/hls/9/index.m3u8
CCTV-9,http://home.wwang.pw:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-9,https://www.freetv.top/migu/673168140.m3u8?migutoken=749c49cdc31bb395e0349adc81010adc8707f80e51e9d3491ad67bfa71388ad768f7b52c8064338a7ef45eb7ddb192fb4937b21681c82499a0c16653ad9a9bec98ff5ce6ab183e4029bbdf269e
CCTV-10,http://php.jdshipin.com:8880/cqyx.php?id=CCTV10HD
CCTV-10,http://120.192.226.35:8009/hls/506/index.m3u8
CCTV-10,http://39.170.52.236:808/hls/10/index.m3u8
CCTV-10,http://tvbox6.icu/tv/migu.php?id=cctv10
CCTV-10,http://39.164.180.36:19901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://110.53.52.63:8888/newlive/live/hls/12/live.m3u8
CCTV-10,https://api.olelive.com/dis/live/CCTV10HD/hls.m3u8
CCTV-10,http://58.17.48.228:808/hls/10/index.m3u8
CCTV-10,http://xiaoya.crccxw.top:35455/gaoma/cctv10.m3u8
CCTV-10,https://www.freetv.top/migu/624878405.m3u8?migutoken=b031282d8102da601efdb58208602ae789e7b6f55c9d261e7847daab04f4426ab3eb370da9611721f213b7b78101e1bbe55b066bfcce6410254cdcadb36bfac54a47b7a7b24cda1b4c19590f8d
CCTV-11,http://php.jdshipin.com:8880/cqyx.php?id=CCTV11HD
CCTV-11,http://120.192.226.35:8009/hls/11/index.m3u8
CCTV-11,http://39.170.52.236:808/hls/11/index.m3u8
CCTV-11,http://tvbox6.icu/tv/migu.php?id=cctv11
CCTV-11,http://39.164.180.36:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://110.53.52.63:8888/newlive/live/hls/13/live.m3u8
CCTV-11,https://api.olelive.com/dis/live/CCTV11HD/hls.m3u8
CCTV-11,https://www.freetv.top/migu/667987558.m3u8?migutoken=6f0aba8bb528e29d40340f6930899fd9d7af9fd013c355a61146d5528e6ac297c46d65935ffcea640455737c324736dd8a29f22083f5450155873c9e89d3a4fb8b6b92b897a7dc62ad55fd891d
CCTV-11,http://www.freetv.top/migu/667987558.m3u8?migutoken=00a21f1483e571da068c555e3eea928f7c6183b26d7acc2afe9bb5e115f0005e02b6118176789d76765ae297bd6dfe4e14966e64415f0781535d91ed266aac177d6ff10fa6358e0eedddc2223b
CCTV-11,http://107.173.199.222:35455/gaoma/cctv11.m3u8
CCTV-12,http://php.jdshipin.com:8880/cqyx.php?id=CCTV12HD
CCTV-12,http://goo.bkpcp.top/mg/CCTV12
CCTV-12,http://120.192.226.35:8009/hls/507/index.m3u8
CCTV-12,http://tvbox6.icu/tv/migu.php?id=cctv12
CCTV-12,http://39.164.180.36:19901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://110.53.52.63:8888/newlive/live/hls/14/live.m3u8
CCTV-12,https://api.olelive.com/dis/live/CCTV12HD/hls.m3u8
CCTV-12,http://home.wwang.pw:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-12,https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081
CCTV-12,http://www.freetv.top/migu/673168185.m3u8?migutoken=21a3954b28c73a4240272889ec94c3318c23068f666c79e61379cb154a890e4e7e3c998a578b29a381972f128751898531cb713221ff95385afec91149321ad772e31489fa01e553c8223e976a
CCTV-13,http://php.jdshipin.com:8880/cqyx.php?id=CCTVNEWSHD
CCTV-13,http://120.192.226.35:8009/hls/13/index.m3u8
CCTV-13,http://39.170.52.236:808/hls/13/index.m3u8
CCTV-13,http://tvbox6.icu/tv/migu.php?id=cctv13
CCTV-13,http://39.164.180.36:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://110.53.52.63:8888/newlive/live/hls/15/live.m3u8
CCTV-13,https://api.olelive.com/dis/live/CCTV13HD/hls.m3u8
CCTV-13,http://61.163.181.78:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://home.wwang.pw:35455/gaoma/cctv13.m3u8
CCTV-13,https://www.freetv.top/migu/608807423.m3u8?migutoken=ac19a58805588401a8e818b6dd00df9b327912af3611ba95f89235e7020821668a2b6dc65ccc3904967da59d0a9742565c56ea582baf8915d068035054818ef0f369dab64705a6a7f7120529ec
CCTV-14,http://php.jdshipin.com:8880/cqyx.php?id=CCTVSEHD
CCTV-14,http://tvbox6.icu/tv/migu.php?id=cctv14
CCTV-14,http://39.164.180.36:19901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://110.53.52.63:8888/newlive/live/hls/16/live.m3u8
CCTV-14,https://api.olelive.com/dis/live/CCTV14HD/hls.m3u8
CCTV-14,http://58.17.48.228:808/hls/14/index.m3u8
CCTV-14,http://home.wwang.pw:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-14,https://www.freetv.top/migu/624878440.m3u8?migutoken=239edad94ac0bbff14f123c7f8996ed7639110bd6cf64ec8ba8cf85842224956d452ec8b683385cb27f8a7685224a03e3aa4d914b8fe33249da9df699351b105c795452d03f2be0a1f1e39adb0
CCTV-14,http://www.freetv.top/migu/624878440.m3u8?migutoken=303d044cf07163e1e2e8e4ecc8b6696ed836301cf573b626d3c00ec50cd362cc5e6a93afc2fd102cb883155554597d14eaa697edc9b0a30e56fc0115f81d8fbb8b87129e5bedad7d2173178f03
CCTV-14,http://107.173.199.222:35455/gaoma/cctv14.m3u8
CCTV-15,http://php.jdshipin.com:8880/cqyx.php?id=CCTV15HD
CCTV-15,http://120.192.226.35:8009/hls/15/index.m3u8
CCTV-15,http://tvbox6.icu/tv/migu.php?id=cctv15
CCTV-15,http://110.53.52.63:8888/newlive/live/hls/17/live.m3u8
CCTV-15,https://api.olelive.com/dis/live/CCTV15HD/hls.m3u8
CCTV-15,http://home.wwang.pw:35455/gaoma/cctv15.m3u8
CCTV-15,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4
CCTV-15,http://www.freetv.top/migu/673168223.m3u8?migutoken=81268e3d4f684bb5f7e3f9be9524d419c9c649ab0f8f8d3416c7e7535e0b219459b129f4be677a98cf66de546e2d7a78ebe50703d98eb67703adee341cd46d7d39c14bfc907da3a20534d07396
CCTV-15,http://107.173.199.222:35455/gaoma/cctv15.m3u8
CCTV-15,http://lu.wqwqwq.sbs/itv/1000000005000265014.m3u8?cdn=ystenlive
江苏卫视,http://php.jdshipin.com:8880/cqyx.php?id=JIANGSUHD
江苏卫视,http://120.192.226.35:8009/hls/33/index.m3u8
江苏卫视,http://tvbox6.icu/tv/migu.php?id=jsws
江苏卫视,http://39.164.180.36:19901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://60.223.224.176:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://110.53.52.63:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://www.xzbn.site:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江苏卫视,http://home.wwang.pw:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江苏卫视,https://www.freetv.top/migu/623899368.m3u8?migutoken=89adf8885d4f1f9dee34a4e8d60f187e5b071ac9b79001260a0b66da9027070e0b861510da93cb5190da002ca87645e63e57bada2c65f959e8ef81f693c239f194d683ba2083252bbb0caeab96
江苏卫视,http://lu.wqwqwq.sbs/itv/1000000005000265030.m3u8?cdn=ystenlive
浙江卫视,http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915
浙江卫视,http://php.jdshipin.com:8880/cqyx.php?id=ZHEJIANGHD
浙江卫视,http://120.192.226.35:8009/hls/34/index.m3u8
浙江卫视,http://39.164.180.36:19901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://110.53.52.63:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8
浙江卫视,http://home.wwang.pw:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
浙江卫视,http://lu.wqwqwq.sbs/itv/1000000005000265031.m3u8?cdn=ystenlive
浙江卫视,http://3501776.xyz:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
北京卫视,http://php.jdshipin.com:8880/cqyx.php?id=BEIJINGHD
北京卫视,http://z.b.bkpcp.top/m.php?id=bjws
北京卫视,http://120.192.226.35:8009/hls/35/index.m3u8
北京卫视,http://39.164.180.36:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://36.32.174.67:60080/newlive/live/hls/25/live.m3u8
北京卫视,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8
北京卫视,http://110.53.52.63:8888/newlive/live/hls/18/live.m3u8
北京卫视,http://www.xzbn.site:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://home.wwang.pw:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://lu.wqwqwq.sbs/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://php.jdshipin.com:8880/cqyx.php?id=SHANGHAIHD
东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
东方卫视,http://120.192.226.35:8009/hls/31/index.m3u8
东方卫视,http://tvbox6.icu/tv/migu.php?id=dfws
东方卫视,http://39.164.180.36:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8
东方卫视,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://110.53.52.63:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://www.xzbn.site:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东方卫视,http://home.wwang.pw:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
湖南卫视,http://php.jdshipin.com:8880/cqyx.php?id=HUNANHD
湖南卫视,http://z.b.bkpcp.top/m.php?id=hunws
湖南卫视,http://120.192.226.35:8009/hls/32/index.m3u8
湖南卫视,http://tvbox6.icu/tv/migu.php?id=hunws
湖南卫视,http://39.164.180.36:19901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://110.53.52.63:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://58.17.48.228:808/hls/31/index.m3u8
湖南卫视,http://home.wwang.pw:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南卫视,http://lu.wqwqwq.sbs/itv/1000000005000265024.m3u8?cdn=ystenlive
兵团卫视,http://php.jdshipin.com:8880/cqyx.php?id=BINGTUANSD
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://home.wwang.pw:35455/itv/1000000005000266005.m3u8?cdn=ystenlive
兵团卫视,http://139.129.231.228:50060/rtp/239.21.1.234:5002
兵团卫视,http://116.117.105.96:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://61.138.128.226:19901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://116.117.105.51:8096/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://121.33.239.242:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://110.7.131.79:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
苏州新闻综合,http://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州新闻综合,http://tvbox6.icu/tv/migu.php?id=szxwzh
苏州社会经济,http://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,http://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州生活资讯,http://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
